exchange,stock_symbol,date,dividends
NYSE,AB,11/5/2009,0.67
NYSE,AB,8/6/2009,0.41
NYSE,AB,4/30/2009,0.07
NYSE,AB,1/29/2009,0.29
NYSE,AB,10/30/2008,0.6
NYSE,AB,7/31/2008,0.96
NYSE,AB,5/1/2008,0.83
NYSE,AB,1/31/2008,1.06
NYSE,AB,11/1/2007,1.2
NYSE,AB,8/2/2007,1.16
NYSE,ABC,11/19/2009,0.08
NYSE,ABC,8/20/2009,0.06
NYSE,ABC,5/27/2009,0.03
NYSE,ABC,5/14/2009,0.05
NYSE,ABC,2/12/2009,0.05
NYSE,ABC,11/20/2008,0.05
NYSE,ABC,8/14/2008,0.0375
NYSE,ABC,5/15/2008,0.0375
NYSE,ABC,2/13/2008,0.0375
NYSE,ABC,11/15/2007,0.0375
NYSE,AAN,11/27/2009,0.018
NYSE,AAN,8/28/2009,0.017
NYSE,AAN,6/3/2009,0.017
NYSE,AAN,3/4/2009,0.017
NYSE,AAN,11/26/2008,0.017
NYSE,AAN,8/28/2008,0.016
NYSE,AAN,6/4/2008,0.016
NYSE,AAN,3/5/2008,0.016
NYSE,AAN,11/29/2007,0.016
NYSE,AAN,8/29/2007,0.015
NYSE,AAV,2/25/2009,0.032
NYSE,AAV,1/28/2009,0.065
NYSE,AAV,1/15/2009,0.065
NYSE,AAV,12/29/2008,0.067
NYSE,AAV,11/25/2008,0.095
NYSE,AAV,10/29/2008,0.093
NYSE,AAV,9/26/2008,0.116
NYSE,AAV,8/27/2008,0.114
NYSE,AAV,7/29/2008,0.118
NYSE,AAV,6/26/2008,0.118
NYSE,AAR,1/13/2010,0.492
NYSE,AAR,10/13/2009,0.492
NYSE,AAR,7/13/2009,0.492
NYSE,AAR,4/13/2009,0.492
NYSE,AAR,1/13/2009,0.492
NYSE,AAR,10/10/2008,0.492
NYSE,AAR,7/11/2008,0.492
NYSE,AAR,4/11/2008,0.492
NYSE,AAR,1/11/2008,0.492
NYSE,AAR,10/11/2007,0.492
NYSE,AAP,12/22/2009,0.06
NYSE,AAP,9/23/2009,0.06
NYSE,AAP,6/24/2009,0.06
NYSE,AAP,3/25/2009,0.06
NYSE,AAP,12/23/2008,0.06
NYSE,AAP,9/17/2008,0.06
NYSE,AAP,6/18/2008,0.06
NYSE,AAP,3/18/2008,0.06
NYSE,AAP,12/19/2007,0.06
NYSE,AAP,9/19/2007,0.06
NYSE,ABB,7/22/2009,0.441
NYSE,ABB,7/23/2008,0.47
NYSE,ABB,5/3/2007,0.198
NYSE,ABB,5/4/2006,0.094
NYSE,ABB,12/5/2003,1.23
NYSE,ABA,11/25/2009,0.398
NYSE,ABA,8/27/2009,0.398
NYSE,ABA,5/27/2009,0.398
NYSE,ABA,2/25/2009,0.398
NYSE,ABA,11/25/2008,0.398
NYSE,ABA,8/27/2008,0.398
NYSE,ABA,5/28/2008,0.398
NYSE,ABA,2/27/2008,0.398
NYSE,ABA,11/28/2007,0.398
NYSE,ABA,8/29/2007,0.398
NYSE,AA,2/3/2010,0.03
NYSE,AA,11/4/2009,0.03
NYSE,AA,8/5/2009,0.03
NYSE,AA,5/6/2009,0.03
NYSE,AA,2/4/2009,0.17
NYSE,AA,11/5/2008,0.17
NYSE,AA,8/6/2008,0.17
NYSE,AA,4/30/2008,0.17
NYSE,AA,2/6/2008,0.17
NYSE,AA,10/31/2007,0.17
